"playId","epa","yards_gained","air_yards"
68,-0.764067554,0,27
94,0.816847118,8,1
160,1.625825024,19,18
210,0.762287429,16,6
309,-0.417163773,0,2
427,-0.479605319,0,27
449,-0.490162781,3,2
494,-0.430915938,0,17
629,-0.701642818,5,5
724,1.288615712,14,1
748,0.74590589,8,4
777,0.250618068,5,-1
846,0.476558545,11,11
870,1.005592,18,2
894,-0.38286967,0,0
938,2.712413214,7,7
1025,2.627139587,27,24
1049,0.736346522,15,1
1130,-0.502073953,0,12
1274,-0.614858816,0,16
1397,2.365476133,22,7
1421,-0.577165001,0,26
1464,2.326020669,16,14
1840,-0.580456209,0,16
1862,-1.055504102,0,7
1993,0.625095663,9,3
2034,0.859213635,14,13
2058,0.57712179,13,6
2103,-0.329874675,0,16
2125,0.926647065,12,11
2166,-0.03421927,4,1
2190,-0.349467314,1,2
2219,0.874655097,8,8
2276,-1.26856833,-2,-3
2317,2.525008852,3,0
2524,0.323994704,8,-6
2548,-0.950079397,4,2
2591,-0.777282261,0,30
2613,1.868375068,8,-6
2690,-1.406607891,0,17
2756,6.088797454,75,41
2807,-0.766044873,0,42
2850,2.869692731,17,15
2874,-0.628242047,0,-8
2921,-1.771963168,0,3
2985,-0.909278146,0,33
3007,-1.172908564,0,12
3081,1.111599658,22,15
3409,3.213501181,54,52
3528,-1.259005186,1,NA
3725,6.240911174,78,31
3776,2.055710333,26,5
3800,0.541212639,8,2
3824,-0.633592024,0,8
3846,-1.542225154,1,-6
3897,-0.633081775,0,16
3940,-0.388496348,7,3
4067,-0.636403168,0,26
4089,-0.847206304,0,38
4111,-1.274377925,0,10
4158,0.926864062,9,4
4203,-0.14277775,4,-2
4227,1.336869532,25,22
4251,-0.420706225,0,0
4273,1.767088712,11,5
4381,-0.598018181,0,56
4407,-0.676154968,0,52
4582,-0.418673711,0,4
